OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-IL,USGS Illinois Water Science Center,USGS-424050088170801,3N19E-32.8g,Well,,07120006,,,,,42.6805833,-88.2856667,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,790,feet,10,feet,Interpolated from topographic map.,NGVD29,US,55,101,Sand and gravel aquifers (glaciated regions),Quaternary System,Confined single aquifer,20100804,23.5,ft,23.5,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-424052088180101,3N19E-31.4h,Well,,07120006,,,,,42.6812222,-88.3004167,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,800,feet,1,feet,Interpolated from topographic map.,NAVD88,US,55,101,Sand and gravel aquifers (glaciated regions),Quaternary System,Unconfined single aquifer,20000307,18.8,ft,19.3,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-424127088135601,3N19E-27.3F,Well,,07120006,,,,,42.6909722,-88.2339167,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,775,feet,10,feet,Interpolated from topographic map.,NGVD29,US,55,101,Sand and gravel aquifers (glaciated regions),Quaternary System,Confined single aquifer,19940922,33,ft,33,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-424404088134601,3N19E-10.1D,Well,,07120006,,,,,42.7353333,-88.2293056,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,773,feet,10,feet,Interpolated from topographic map.,NGVD29,US,55,101,Sand and gravel aquifers (glaciated regions),Quaternary System,Unconfined single aquifer,19960802,39,ft,39,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-424657088132001,4N19E-26.5G,Well,,07120006,,,,,42.7839444,-88.2213333,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,790,feet,10,feet,Interpolated from topographic map.,NGVD29,US,55,101,Sand and gravel aquifers (glaciated regions),Quaternary System,Confined single aquifer,19930305,61,ft,61,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-424700088133201,4N19E-26.7e,Well,,07120006,,,,,42.7835556,-88.2256389,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,890,feet,1,feet,Interpolated from topographic map.,NGVD29,US,55,101,Sand and gravel aquifers (glaciated regions),Quaternary System,Unconfined single aquifer,19990813,34,ft,34.5,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-424756088194201,4N18E-23.1H,Well,,07120006,,,,,42.7993056,-88.3268611,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,820,feet,10,feet,Interpolated from topographic map.,NGVD29,US,55,127,Sand and gravel aquifers (glaciated regions),Quaternary System,Unconfined single aquifer,19800223,39,ft,39,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-424955088130901,4N19E-2.5B,Well,,07120006,,,,,42.8306667,-88.2199444,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,805,feet,10,feet,Interpolated from topographic map.,NGVD29,US,55,101,Sand and gravel aquifers (glaciated regions),Quaternary System,Confined multiple aquifers,19921005,72,ft,72,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-425003088121501,4N19E-1.7c,Well,,07120006,,,,,42.8342222,-88.2041111,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,795,feet,10,feet,Interpolated from topographic map.,NGVD29,US,55,101,Sand and gravel aquifers (glaciated regions),Quaternary System,Confined single aquifer,20100805,29.25,ft,29.5,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-425249088184401,5N18E-24.3d,Well,,07120006,,,,,42.8803611,-88.3123611,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,860,feet,1,feet,Interpolated from topographic map.,NGVD29,US,55,133,Sand and gravel aquifers (glaciated regions),Quaternary System,Unconfined single aquifer,20000306,26.3,ft,35.3,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-425352088240101,5N18E-17.5f,Well,,07120006,,,,,42.8966944,-88.3993333,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,930,feet,10,feet,Interpolated from topographic map.,NGVD29,US,55,133,Sand and gravel aquifers (glaciated regions),Quaternary System,Unconfined multiple aquifer,19900515,47,ft,47,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-425402088241601,5N18E-17.8h,Well,,07120006,,,,,42.9007222,-88.4045,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,960,feet,1,feet,Interpolated from topographic map.,NGVD29,US,55,133,Sand and gravel aquifers (glaciated regions),Quaternary System,Unconfined single aquifer,19990831,49.1,ft,49.6,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-425536088180901,5N19E-6.7G,Well,,07120006,,,,,42.9273889,-88.3013056,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,830,feet,10,feet,Interpolated from topographic map.,NGVD29,US,55,133,Sand and gravel aquifers (glaciated regions),Quaternary System,Unconfined multiple aquifer,19900604,97,ft,97,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-425656088124401,6N19E-26.2C,Well,,07120006,,,,,42.9520833,-88.2021944,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,880,feet,10,feet,Interpolated from topographic map.,NGVD29,US,55,133,Sand and gravel aquifers (glaciated regions),Quaternary System,Confined single aquifer,19910221,110,ft,110,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-425755088210901,6N18E-22.3C,Well,,07120006,,,,,42.9651111,-88.3524167,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,855,feet,20,feet,Interpolated from topographic map.,NGVD29,US,55,133,Sand and gravel aquifers (glaciated regions),Quaternary System,Unconfined single aquifer,19921008,62,ft,62,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-425816088231401,6N18E-20.1F,Well,,07120006,,,,,42.9695,-88.4086667,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1025,feet,10,feet,Interpolated from topographic map.,NGVD29,US,55,133,Sand and gravel aquifers (glaciated regions),Quaternary System,Confined multiple aquifers,19940727,31,ft,31,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-425913088133801,6N19E-15.1h,Well,,07120006,,,,,42.9871944,-88.2273889,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,880,feet,1,feet,Interpolated from topographic map.,NGVD29,US,55,133,Sand and gravel aquifers (glaciated regions),Quaternary System,Unconfined single aquifer,19990819,28.08,ft,30,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-430003088164601,6N19E-8.8f,Well,,07120006,,,,,43.0009444,-88.2795278,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,850,feet,1,feet,Global Positioning System.,NAVD88,US,55,133,Sand and gravel aquifers (glaciated regions),Quaternary System,Unconfined single aquifer,19990811,33.52,ft,34.02,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-430155088114701,7N19E-36.7g,Well,,07120006,,,,,43.0319722,-88.1966667,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,890,feet,1,feet,Interpolated from topographic map.,NGVD29,US,55,133,Sand and gravel aquifers (glaciated regions),Quaternary System,Unconfined single aquifer,19990819,44.3,ft,44.8,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-430239088164001,7N19E-29.5f,Well,,07120006,,,,,43.0441667,-88.2779722,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,880,feet,1,feet,Interpolated from topographic map.,NGVD29,US,55,133,Sand and gravel aquifers (glaciated regions),Quaternary System,Unconfined single aquifer,19990811,23.33,ft,23.83,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-430353088095901,7N20E-18.1c,Well,,07120006,,,,,43.0647778,-88.1664444,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,860,feet,1,feet,Interpolated from topographic map.,NGVD29,US,55,133,Sand and gravel aquifers (glaciated regions),Quaternary System,Unconfined single aquifer,19990812,18.66,ft,18.66,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-430407088075901,7N20E-16.3E,Well,,07120006,,,,,43.0685556,-88.1324167,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,880,feet,10,feet,Interpolated from topographic map.,NGVD29,US,55,133,Sand and gravel aquifers (glaciated regions),Quaternary System,Unconfined single aquifer,19891102,38,ft,38,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-430728088132801,8N18e-27.1c,Well,,07120006,,,,,43.1247222,-88.2246667,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,920,feet,1,feet,Interpolated from topographic map.,NGVD29,US,55,133,Sand and gravel aquifers (glaciated regions),Quaternary System,Unconfined single aquifer,20000302,27,ft,28.5,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-430846088123201,8N19E-23.3f,Well,,07120006,,,,,43.1463333,-88.2091111,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,960,feet,1,feet,Interpolated from topographic map.,NGVD29,US,55,133,Sand and gravel aquifers (glaciated regions),Quaternary System,Unconfined single aquifer,19990830,16.73,ft,18,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-430923088141601,8N19E-15.6E,Well,,07120006,,,,,43.1569444,-88.2416944,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,990,feet,10,feet,Interpolated from topographic map.,NGVD29,US,55,133,Sand and gravel aquifers (glaciated regions),Quaternary System,Unconfined multiple aquifer,19961122,66,ft,66,ft,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-460714089090406,"LAC VIEUX DESERT NR LAND O'LAKES, WI (SITE 8-06)","Lake, Reservoir, Impoundment",,07070001,34.4,sq mi,,,46.1205074,-89.151247,24000,1,seconds,Interpolated from MAP.,NAD83,1600,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,125,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-460717089090905,"LAC VIEUX DESERT AT OUTLET NR LAND O'LAKES, WI(05)","Lake, Reservoir, Impoundment",,07070001,34.4,sq mi,,,46.1213407,-89.1526359,24000,1,seconds,Interpolated from MAP.,NAD83,1681,feet,1,feet,Interpolated from topographic map.,NGVD29,US,55,125,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-460726089065005,"LAC VIEUX DESERT NEAR PHELPS, WI (SITE 5A-05)","Lake, Reservoir, Impoundment",,07070001,,,,,46.1238411,-89.1140242,24000,1,seconds,Interpolated from MAP.,NAD83,1600,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,125,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-460726089065006,"LAC VIEUX DESERT NEAR PHELPS, WI (SITE 5A-06)","Lake, Reservoir, Impoundment",,07070001,,,,,46.1238411,-89.1140242,24000,1,seconds,Interpolated from MAP.,NAD83,1600,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,125,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-460730089042506,"LAC VIEUX DESERT NEAR PHELPS, WI (SITE 13-06)","Lake, Reservoir, Impoundment",,07070001,34.4,sq mi,,,46.1249526,-89.0737458,24000,1,seconds,Interpolated from MAP.,NAD83,1600,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,125,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-460847089052506,"LAC VIEUX DESERT NR LAND O'LAKES, WI (SITE 2-06)","Lake, Reservoir, Impoundment",,07070001,34.4,sq mi,,,46.1463408,-89.0904134,24000,1,seconds,Interpolated from MAP.,NAD83,1600,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,125,,,,,,,,,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-05338650,"ST. CROIX RIVER AT HWY. 70 NEAR GRANTSBURG, WI",Stream,,07030005,,,,,45.7732879,-92.7807621,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,095,,,,,,,,,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-05339015,"ST. CROIX RIVER BELOW WOOD RIVER NR. GRANTSBURG,WI",Stream,,07030005,,,,,45.7566216,-92.7938185,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,013,,,,,,,,,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-05340420,"ST. CROIX R. AT NEVERS DAM SITE, NR. WOLF CK., WI",Stream,,07030005,,,,,45.5369038,-92.724378,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,095,,,,,,,,,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-0534055050,"CLOSE SLU INLET (ST. CROIX RIVER) NR FRANCONIA, MN",Stream,,07030005,,,,,45.3640556,-92.6911111,,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,55,095,,,,,,,,,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-0534055210,"ST. CROIX R. ABV PEASLEE LK. OTLT NR FRANCONIA, MN",Stream,,07030005,,,,,45.3556389,-92.7031667,,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,55,095,,,,,,,,,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-0534055310,"CLUSE SLU (ST. CROIX R) OUTLET BLW FRANCONIA, MN",Stream,,07030005,,,,,45.3471389,-92.6993889,,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,55,095,,,,,,,,,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-0534055920,"ST. CROIX R. BACKWTR AT CEDAR BEND BLW OSCEOLA, WI",Stream,,07030005,,,,,45.2919167,-92.7521944,,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,55,095,,,,,,,,,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-0534055950,"ST. CROIX RIVER AT KNAPP CAVE BELOW OSCEOLA, WI",Stream,,07030005,,,,,45.2857778,-92.7630833,,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,55,095,,,,,,,,,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-05341510,"ST. CROIX RIVER BELOW APPLE R. NR. STILLWATER, MN",Stream,,07030005,,,,,45.1233002,-92.7454838,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,109,,,,,,,,,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-05344490,"ST. CROIX RIVER AT PRESCOTT, WI",Stream,,07030005,7650,sq mi,,,44.7491343,-92.8046473,,1,seconds,Interpolated from MAP.,NAD83,649.50,feet,.01,feet,Level or other surveyed method.,NGVD29,US,55,093,,,,,,,,,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-05344500,"MISSISSIPPI RIVER AT PRESCOTT, WI",Stream,,07040001,44800,sq mi,,,44.745801,-92.8002026,,1,seconds,Interpolated from MAP.,NAD83,649.5,feet,.5,feet,Level or other surveyed method.,NGVD29,US,55,093,,,,,,,,,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-05355331,MISSISSIPPI R. (LK PEPIN) AT MILE 771 NR LAKE CITY,Stream,,07040001,,,,,44.4425,-92.2188889,24000,1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,55,091,,,,,,,,,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-05372500,"MISSISSIPPI RIVER AT ALMA, WI",Stream,,07040003,,,,,44.3260767,-91.9190508,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,011,,,,,,,,,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-425101091043601,"SLOUGH ON MISSISSIPPI R. BLW GLEN HAVEN,WI(P10DA1)",Stream,,07060003,,,,,42.8502664,-91.0767953,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,043,,,,,,,,,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-435519091153701,"SLOUGH BY MISSISSIPPI R. ABOVE MIDWAY, WI (P7DA2)","Lake, Reservoir, Impoundment",,07040006,,,,,43.9219083,-91.260419,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,063,,,,,,,,,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-442342092023601,"SLOUGH ON MISSISSIPPI RIVER ABV NELSON, WI (P4DA1)",Stream,,07040003,,,,,44.3949668,-92.043501,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,011,,,,,,,,,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-443502092212301,PDCT-U7   024N16W09AA    01,Well,,07040001,,,,,44.5835667,-92.3225194,24000,.1,seconds,Differentially corrected Global Positioning System.,NAD83,721.30,feet,.04,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,55,093,Cambrian-Ordovician aquifer system,Prairie Du Chien Group,Unconfined single aquifer,19951025,66,ft,66,ft,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-443703092261301,PDCT-U6   025N17W28DDD   01,Well,,07040001,,,,,44.6177806,-92.4400972,24000,.1,seconds,Differentially corrected Global Positioning System.,NAD83,773.32,feet,.04,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,55,093,Cambrian-Ordovician aquifer system,Prairie Du Chien Group,Unconfined single aquifer,19810217,140,ft,140,ft,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-444452092251401,PDCT-C6   026N17W10DD    01,Well,,07040001,,,,,44.7475528,-92.4189778,24000,.1,seconds,Differentially corrected Global Positioning System.,NAD83,1020,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,093,Cambrian-Ordovician aquifer system,Prairie Du Chien Group,Confined single aquifer,19940720,210,ft,210,ft,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-445010092422201,PDCT-U1   027N19W08D     01,Well,,07030005,,,,,44.8359222,-92.7020361,24000,.1,seconds,Differentially corrected Global Positioning System.,NAD83,920,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,093,Cambrian-Ordovician aquifer system,Prairie Du Chien Group,Unconfined single aquifer,19860725,230,ft,230,ft,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-445400092462401,"LAKE ST. CROIX BELOW CATFISH BAR NEAR AFTON, MN","Lake, Reservoir, Impoundment",,07030005,,,,,44.9,-92.7733333,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,55,109,,,,,,,,,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-445933092222301,PDCT-U5   029N16W18CC    01,Well,,07040001,,,,,44.9925722,-92.3739389,24000,.1,seconds,Differentially corrected Global Positioning System.,NAD83,1160,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,109,Cambrian-Ordovician aquifer system,Prairie Du Chien Group,Unconfined single aquifer,19900522,104,ft,104,ft,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-450028092455801,"LAKE ST. CROIX BELOW LAKESIDE PARK AT BAYPORT, MN","Lake, Reservoir, Impoundment",,07030005,,,,,45.0077778,-92.7661111,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,55,109,,,,,,,,,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-450444092275001,PDCT-C5   030N17W20AAA   01,Well,,07030005,,,,,45.0789333,-92.4582444,24000,.1,seconds,Differentially corrected Global Positioning System.,NAD83,1085,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,109,Cambrian-Ordovician aquifer system,Trempealeau Formation,Confined single aquifer,19800310,115,ft,115,ft,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-450635092302201,PDCT-U2   030N18W01CD    01 FK 344,Well,,07030005,,,,,45.1097139,-92.5064722,24000,.1,seconds,Differentially corrected Global Positioning System.,NAD83,1009.34,feet,.03,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,55,109,Cambrian-Ordovician aquifer system,Prairie Du Chien Group,Unconfined single aquifer,19930706,77,ft,77,ft,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-451027092142901,PDCT-U8   031N15W17DA    01,Well,,07030005,,,,,45.1738333,-92.2413444,24000,.1,seconds,Differentially corrected Global Positioning System.,NAD83,1160,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,109,Cambrian-Ordovician aquifer system,Prairie Du Chien Group,Unconfined single aquifer,19880926,180,ft,180,ft,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-451104092212501,PDCT-C4   031N16W09CA    01,Well,,07030005,,,,,45.1849278,-92.3561556,24000,.1,seconds,Differentially corrected Global Positioning System.,NAD83,1070,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,109,Cambrian-Ordovician aquifer system,Prairie Du Chien Group,Confined single aquifer,19920821,105,ft,105,ft,NWIS
