OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-OH,USGS Ohio Water Science Center,OH015-391341083172200,RO-7,Well,,05060003,,,,,39.2281213,-83.2893557,24000,1,seconds,Interpolated from MAP.,NAD83,740.00,feet,10.,feet,Interpolated from topographic map.,NGVD29,US,39,141,Sand and gravel aquifers (glaciated regions),Outwash,Unconfined single aquifer,,67,ft,67,ft,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-391452082282900,V-1,Well,,05090101,,,,,39.2478485,-82.4746008,24000,1,seconds,Interpolated from MAP.,NAD83,736,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,163,Mississippian aquifers,Cuyahoga Formation,Confined single aquifer,,220,ft,220,ft,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-391608084254400,H-6 OH,Well,,05090203,,,,,39.2689468,-84.4288307,24000,5,seconds,Interpolated from MAP.,NAD83,574,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,061,Sand and gravel aquifers (glaciated regions),Outwash,Unconfined single aquifer,,160,ft,,,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-391817084393300,H-4,Well,,05080002,,,,,39.3047783,-84.6591146,24000,1,seconds,Interpolated from MAP.,NAD83,541,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,061,Sand and gravel aquifers (glaciated regions),Outwash,Unconfined single aquifer,19540101,100,ft,100,ft,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-392004082071600,AT-2A,Well,,05030204,,,,,39.3345171,-82.1209783,24000,1,seconds,Interpolated from MAP.,NAD83,641.81,feet,.5,feet,Level or other surveyed method.,NGVD29,US,39,009,Sand and gravel aquifers (glaciated regions),Outwash,Unconfined single aquifer,19660101,43,ft,43,ft,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-392017084345200,BU-7,Well,,05080002,,,,,39.3381121,-84.5810576,24000,1,seconds,Interpolated from MAP.,NAD83,574.47,feet,0.5,feet,Level or other surveyed method.,NGVD29,US,39,017,Sand and gravel aquifers (glaciated regions),Outwash,Unconfined single aquifer,,176,ft,176,ft,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-392048084311400,BU-8,Well,,05090203,,,,,39.3467238,-84.5205006,24000,5,seconds,Interpolated from MAP.,NAD83,633,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,017,Sand and gravel aquifers (glaciated regions),Outwash,Unconfined single aquifer,,105,ft,,,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-393153083322000,FA-1 OH,Well,,05060003,,,,,39.5313361,-83.5390583,24000,Unknown,Unknown,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAD83,1013.71,feet,0.1,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,39,047,Silurian-Devonian aquifers,Niagara Dolomite,Confined single aquifer,,78,ft,,,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-393327082571600,PK-7 OH,Well,,05060002,,,,,39.5575622,-82.9543469,24000,1,seconds,Interpolated from MAP.,NAD83,702,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,129,Sand and gravel aquifers (glaciated regions),Outwash,Unconfined single aquifer,,172,ft,,,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-393402082572500,PK-4 OH,Well,,05060002,,,,,39.5672844,-82.956847,24000,1,seconds,Interpolated from MAP.,NAD83,698,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,129,Sand and gravel aquifers (glaciated regions),Outwash,Unconfined single aquifer,,136,ft,136,ft,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-394025084162800,MT-49 OH,Well,,05080002,,,,,39.6736697,-84.2743861,24000,5,seconds,Interpolated from MAP.,NAD83,714,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,113,Sand and gravel aquifers (glaciated regions),Outwash,Unconfined single aquifer,,220,ft,,,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-394257082362900,F-6 OH,Well,,05030204,,,,,39.7158976,-82.607941,24000,1,seconds,Interpolated from MAP.,NAD83,816,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,045,Sand and gravel aquifers (glaciated regions),Outwash,Unconfined single aquifer,,108,ft,108,ft,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-394411083561300,GR-1,Well,,05090202,,,,,39.7364486,-83.9368753,24000,5,seconds,Interpolated from MAP.,NAD83,819.00,feet,.5,feet,Level or other surveyed method.,NGVD29,US,39,057,Sand and gravel aquifers (glaciated regions),Outwash,Unconfined single aquifer,,77,ft,,,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-394425083551100,GR-10 OH,Well,,05090202,,,,,39.7403375,-83.9196524,24000,1,seconds,Interpolated from MAP.,NAD83,830,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,057,Sand and gravel aquifers (glaciated regions),Outwash,Unconfined single aquifer,,100,ft,100,ft,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-394425084113200,MT-3 OH,Well,,05080002,,,,,39.7403368,-84.1921622,24000,5,seconds,Interpolated from MAP.,NAD83,737,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,113,Sand and gravel aquifers (glaciated regions),Outwash,Unconfined single aquifer,,80,ft,,,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-394544082271000,F-1 OH,Well,,05030204,,,,,39.7622875,-82.452656,24000,5,seconds,Interpolated from MAP.,NAD83,976,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,045,Mississippian aquifers,Logan Formation,Confined single aquifer,,74,ft,,,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-394956083002700,FR-18 OH,Well,,05060001,,,,,39.8322857,-83.0074056,24000,1,minutes,Interpolated from MAP.,NAD83,691.07,feet,0.1,feet,Differentially corrected Global Positioning System.,NAVD88,US,39,049,Sand and gravel aquifers (glaciated regions),Outwash,Unconfined single aquifer,,86.4,ft,86.4,ft,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-395053082361900,F-5 OH,Well,,05060001,,,,,39.8481195,-82.6051632,24000,1,seconds,Interpolated from MAP.,NAD83,846,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,045,Sand and gravel aquifers (glaciated regions),Outwash,Confined single aquifer,,180,ft,180,ft,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-395301083272200,M-2 OH,Well,,05060002,,,,,39.8836714,-83.456031,24000,1,seconds,Interpolated from MAP.,NAD83,1036,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,097,Silurian-Devonian aquifers,Silurian System,Confined single aquifer,19710101,350,ft,,,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-395639084012200,CL-9 OH,Well,,05080001,,,,,39.9442255,-84.0227135,24000,1,seconds,Interpolated from MAP.,NAD83,897,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,023,Sand and gravel aquifers (glaciated regions),Outwash,Unconfined single aquifer,,113,ft,113,ft,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-395740083255700,M-3 OH,Well,,05060002,,,,,39.9611718,-83.4324199,24000,1,seconds,Interpolated from MAP.,NAD83,1017,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,097,Silurian-Devonian aquifers,Silurian System,Confined multiple aquifers,19710101,290,ft,,,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-395804081593200,MU-1B OH,Well,,05040004,,,,,39.9678454,-81.9920802,24000,1,seconds,Interpolated from MAP.,NAD83,697,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,119,Sand and gravel aquifers (glaciated regions),Outwash,Unconfined single aquifer,,135,ft,,,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-395840083495200,CL-7 OH,Well,,05080001,,,,,39.9778376,-83.8310408,24000,1,seconds,Interpolated from MAP.,NAD83,922,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,023,Sand and gravel aquifers (glaciated regions),Outwash,Unconfined single aquifer,,50,ft,50,ft,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-400101083021800,FR-10 OH,Well,,05060001,,,,,40.0170085,-83.0382403,24000,5,seconds,Interpolated from MAP.,NAD83,778,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,049,Sand and gravel aquifers (glaciated regions),Outwash,Unconfined single aquifer,,75,ft,,,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-400118081082200,B-3 OH,Well,,05040001,,,,,40.021737,-81.1392715,24000,1,seconds,Interpolated from MAP.,NAD83,1263,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,013,Pennsylvanian aquifers,Monongahela Formation,Confined single aquifer,,119,ft,,,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-401826083255200,U-4 OH,Well,,05060001,,,,,40.3072806,-83.4310345,24000,1,seconds,Interpolated from MAP.,NAD83,1033,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,159,Silurian-Devonian aquifers,Greenfield Dolomite,Confined single aquifer,19710216,350,ft,,,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-402126083040400,DL-3 OH,Well,,05060001,,,,,40.3572832,-83.0676874,24000,1,seconds,Interpolated from MAP.,NAD83,886,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,041,Silurian-Devonian aquifers,Devonian System,Confined single aquifer,,135,ft,,,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-402344082300700,K-1 OH,Well,,05040003,,,,,40.3956176,-82.5018298,24000,5,seconds,Interpolated from MAP.,NAD83,992,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,083,Sand and gravel aquifers (glaciated regions),Outwash,Unconfined single aquifer,,90,ft,,,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-403207081293800,TU-3 OH,Well,,05040001,,,,,40.5353416,-81.4937286,24000,1,seconds,Interpolated from MAP.,NAD83,878,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,157,Sand and gravel aquifers (glaciated regions),Outwash,Unconfined single aquifer,19600101,62,ft,,,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-403233083574500,AU-3 OH,Well,,05080001,,,,,40.5425494,-83.9624415,24000,1,seconds,Interpolated from MAP.,NAD83,1018,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,011,Silurian-Devonian aquifers,Silurian System,Confined multiple aquifers,19710101,380,ft,,,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-403413083170500,MN-4 OH,Well,,05060001,,,,,40.5703356,-83.2846408,24000,1,seconds,Interpolated from MAP.,NAD83,910,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,101,Silurian-Devonian aquifers,Silurian System,Confined single aquifer,19710101,290,ft,,,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-403443083230400,MN-1 OH,Well,,05060001,,,,,40.5786678,-83.3843665,24000,1,seconds,Interpolated from MAP.,NAD83,925,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,101,Silurian-Devonian aquifers,Silurian System,Confined single aquifer,,100,ft,100,ft,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-403557081313600,TU-4 OH,Well,,05040001,,,,,40.5992287,-81.5265087,24000,1,seconds,Interpolated from MAP.,NAD83,912,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,157,Sand and gravel aquifers (glaciated regions),Outwash,Unconfined single aquifer,,42.5,ft,42.5,ft,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-403601083110400,MN-2 OH,Well,,05060001,,,,,40.6003362,-83.1843596,24000,5,seconds,Interpolated from MAP.,NAD83,914,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,101,Silurian-Devonian aquifers,Silurian System,Confined single aquifer,,67,ft,,,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-403823081324200,TU-5 OH,Well,,05040001,,,,,40.6397831,-81.5448434,24000,1,seconds,Interpolated from MAP.,NAD83,933,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,157,Sand and gravel aquifers (glaciated regions),Outwash,Unconfined single aquifer,,100,ft,,,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-404648083412600,HN-2A OH,Well,,04100008,,,,,40.7800306,-83.690325,24000,Unknown,Unknown,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAD83,945.77,feet,0.1,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,39,065,Silurian-Devonian aquifers,Bass Islands Dolomite,Confined single aquifer,,52,ft,52,ft,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-405211081254200,ST-27A,Well,,05040001,,,,,40.8696389,-81.42825,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1067,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,151,Sand and gravel aquifers (glaciated regions),Outwash,Unconfined single aquifer,20051011,93,ft,100,ft,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-405303082170700,AS-2,Well,,05040002,,,,,40.8842231,-82.2851611,24000,1,seconds,Interpolated from MAP.,NAD83,977,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,005,Sand and gravel aquifers (glaciated regions),Outwash,Unconfined single aquifer,19540501,64,ft,64,ft,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-410042080453800,MA-1,Well,,05030103,,,,,41.0117252,-80.7603564,24000,5,seconds,Interpolated from MAP.,NAD83,1160.00,feet,5.,feet,Interpolated from topographic map.,NGVD29,US,39,099,Pennsylvanian aquifers,Allegheny Formation,Confined single aquifer,,205,ft,,,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-411914083045300,S-3 OH,Well,,04100011,,,,,41.3206086,-83.0813065,24000,1,seconds,Interpolated from MAP.,NAD83,629,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,143,Silurian-Devonian aquifers,Bass Islands Group,Confined single aquifer,19691001,163,ft,,,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-412123083574000,HY-2 OH,Well,,04100009,,,,,41.35644,-83.9610546,24000,1,seconds,Interpolated from MAP.,NAD83,680,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,069,Silurian-Devonian aquifers,Detroit River Group,Confined multiple aquifers,19690601,300,ft,,,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-413108084415300,WM-12 OH,Well,,04100003,,,,,41.51915,-84.6978472,24000,Unknown,Unknown,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAD83,835.96,feet,0.1,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,39,171,Sand and gravel aquifers (glaciated regions),Outwash,Unconfined single aquifer,19690701,165,ft,,,NWIS
USGS-OH,USGS Ohio Water Science Center,OH015-413704083362200,LU-1 OH,Well,,04100009,,,,,41.6178284,-83.606046,24000,5,seconds,Interpolated from MAP.,NAD83,622,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,095,Silurian-Devonian aquifers,Lockport Dolomite,Confined single aquifer,,525,ft,,,NWIS
USGS-OH,USGS Ohio Water Science Center,USEPA-394208082252201,F-28    PAS-04,Well,,05030204,,,,,39.7022778,-82.4229167,,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,796,feet,2,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,045,Sand and gravel aquifers (glaciated regions),Outwash,,200211,67,ft,67,ft,NWIS
USGS-OH,USGS Ohio Water Science Center,USEPA-394257082362603,F-27    PAS-03,Well,,05030204,,,,,39.7156389,-82.6090556,,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,816,feet,2,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,045,Sand and gravel aquifers (glaciated regions),Outwash,,196108,90,ft,,,NWIS
USGS-OH,USGS Ohio Water Science Center,USEPA-395259083561501,CL-361  PAS-06 OH,Well,,05080001,,,,,39.8846111,-83.9372778,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,864,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,023,Sand and gravel aquifers (glaciated regions),Outwash,,19870401,55,ft,55,ft,NWIS
USGS-OH,USGS Ohio Water Science Center,USEPA-402903082325503,K-12    PAS-01,Well,,05040003,,,,,40.4838889,-82.5487778,,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1077,feet,2,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,083,Sand and gravel aquifers (glaciated regions),Outwash,,199203,135,ft,135,ft,NWIS
USGS-OH,USGS Ohio Water Science Center,USEPA-403857082191101,AS-61   PAS-02,Well,,05040002,,,,,40.6495278,-82.3195278,,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1092,feet,2,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,005,Sand and gravel aquifers (glaciated regions),Outwash,,199212,197,ft,197,ft,NWIS
USGS-OH,USGS Ohio Water Science Center,USEPA-411721082350601,E-228   PAS-05,Well,,04100012,,,,,41.2891944,-82.5849722,,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,675,feet,2,feet,Interpolated from Digital Elevation Model,NAVD88,US,39,043,Sand and gravel aquifers (glaciated regions),Outwash,,199712,154,ft,154,ft,NWIS
USGS-OH,USGS Ohio Water Science Center,USGS-03086500,Mahoning River at Alliance OH,Stream,,05030103,89.2,sq mi,89.2,sq mi,40.9328362,-81.0945413,,1,seconds,Interpolated from MAP.,NAD83,1034.79,feet,.10,feet,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,39,151,,,,,,,,,NWIS
USGS-OH,USGS Ohio Water Science Center,USGS-03089500,Mill Creek near Berlin Center OH,Stream,,05030103,19.1,sq mi,,,41.0003361,-80.9684235,,1,seconds,Interpolated from MAP.,NAD83,1032.9,feet,.01,feet,Level or other surveyed method.,NGVD29,US,39,099,,,,,,,,,NWIS
USGS-OH,USGS Ohio Water Science Center,USGS-03090500,Mahoning River bl Berlin Dam nr Berlin Center OH,Stream,,05030103,248,sq mi,248,sq mi,41.0483912,-81.0012032,,1,seconds,Interpolated from MAP.,NAD83,957.72,feet,.01,feet,Reported method of determination.,NAVD88,US,39,099,,,,,,,,,NWIS
USGS-OH,USGS Ohio Water Science Center,USGS-03091500,Mahoning River at Pricetown OH,Stream,,05030103,273,sq mi,273,sq mi,41.1314461,-80.9712018,,1,seconds,Interpolated from MAP.,NAD83,904.77,feet,0.1,feet,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,39,099,,,,,,,,,NWIS
USGS-OH,USGS Ohio Water Science Center,USGS-03092000,Kale Creek near Pricetown OH,Stream,,05030103,21.9,sq mi,21.9,sq mi,41.1397793,-80.995092,,1,seconds,Interpolated from MAP.,NAD83,914.7,feet,.01,feet,Level or other surveyed method.,COE1912,US,39,155,,,,,,,,,NWIS
USGS-OH,USGS Ohio Water Science Center,USGS-03092090,West Branch Mahoning River near Ravenna OH,Stream,,05030103,21.8,sq mi,21.8,sq mi,41.1614455,-81.1970453,,1,seconds,Interpolated from MAP.,NAD83,1011.17,feet,.11,feet,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,39,133,,,,,,,,,NWIS
USGS-OH,USGS Ohio Water Science Center,USGS-03092099,Hinkley Creek at Charlestown OH,Stream,,05030103,7.85,sq mi,,,41.1545012,-81.1473209,,1,seconds,Interpolated from MAP.,NAD83,1021.34,feet,.01,feet,Unknown.,NGVD29,US,39,133,,,,,,,,,NWIS
USGS-OH,USGS Ohio Water Science Center,USGS-03092100,Hinkley Creek near Charlestown OH,Stream,,05030103,10.6,sq mi,,,41.1528345,-81.1678774,,1,seconds,Interpolated from MAP.,NAD83,974.83,feet,.01,feet,Unknown.,NGVD29,US,39,133,,,,,,,,,NWIS
USGS-OH,USGS Ohio Water Science Center,USGS-03092460,West Branch Mahoning River at Wayland OH,Stream,,05030103,81.7,sq mi,81.7,sq mi,41.1570013,-81.0717621,,1,seconds,Interpolated from MAP.,NAD83,925.83,feet,.01,feet,Reported method of determination.,NAVD88,US,39,133,,,,,,,,,NWIS
USGS-OH,USGS Ohio Water Science Center,USGS-03092500,West Branch Mahoning River near Newton Falls OH,Stream,,05030103,96.3,sq mi,,,41.1717234,-81.0209266,,1,seconds,Interpolated from MAP.,NAD83,912.2,feet,.01,feet,Reported method of determination.,NGVD29,US,39,133,,,,,,,,,NWIS
USGS-OH,USGS Ohio Water Science Center,USGS-03093000,Eagle Creek at Phalanx Station OH,Stream,,05030103,97.6,sq mi,97.6,sq mi,41.2611674,-80.9542569,,1,seconds,Interpolated from MAP.,NAD83,887.19,feet,.10,feet,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,39,155,,,,,,,,,NWIS
USGS-OH,USGS Ohio Water Science Center,USGS-03093800,Mahoning River above Duck Creek at Leavittsburg OH,Stream,,05030103,542,sq mi,,,41.2395011,-80.8820309,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,39,155,,,,,,,,,NWIS
USGS-OH,USGS Ohio Water Science Center,USGS-03094000,Mahoning River at Leavittsburg OH,Stream,,05030103,575,sq mi,575,sq mi,41.2392234,-80.880642,,1,seconds,Interpolated from MAP.,NAD83,870.67,feet,.10,feet,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,39,155,,,,,,,,,NWIS
USGS-OH,USGS Ohio Water Science Center,USGS-03094900,Walnut Creek at Cortland OH,Stream,,05030103,8.45,sq mi,,,41.3303342,-80.7242463,,1,seconds,Interpolated from MAP.,NAD83,1000,feet,10,feet,Unknown.,NGVD29,US,39,155,,,,,,,,,NWIS
USGS-OH,USGS Ohio Water Science Center,USGS-03095500,Mosquito Creek bl Mosquito Ck Dam nr Cortland OH,Stream,,05030103,97.5,sq mi,97.5,sq mi,41.299779,-80.7584141,,1,seconds,Interpolated from MAP.,NAD83,873.34,feet,.01,feet,Reported method of determination.,NAVD88,US,39,155,,,,,,,,,NWIS
