"","OrganizationIdentifier","OrganizationFormalName","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ActivityStartTime.Time","ActivityStartTime.TimeZoneCode","ActivityEndDate","ActivityEndTime.Time","ActivityEndTime.TimeZoneCode","ActivityDepthHeightMeasure.MeasureValue","ActivityDepthHeightMeasure.MeasureUnitCode","ActivityDepthAltitudeReferencePointText","ActivityTopDepthHeightMeasure.MeasureValue","ActivityTopDepthHeightMeasure.MeasureUnitCode","ActivityBottomDepthHeightMeasure.MeasureValue","ActivityBottomDepthHeightMeasure.MeasureUnitCode","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","SampleAquifer","HydrologicCondition","HydrologicEvent","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasure.MeasureUnitCode","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultParticleSizeBasisText","PrecisionValue","ResultCommentText","USGSPCode","ResultDepthHeightMeasure.MeasureValue","ResultDepthHeightMeasure.MeasureUnitCode","ResultDepthAltitudeReferencePointText","SubjectTaxonomicName","SampleTissueAnatomyName","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","ResultAnalyticalMethod.MethodName","MethodDescriptionText","LaboratoryName","AnalysisStartDate","ResultLaboratoryCommentText","DetectionQuantitationLimitTypeName","DetectionQuantitationLimitMeasure.MeasureValue","DetectionQuantitationLimitMeasure.MeasureUnitCode","PreparationStartDate","ProviderName","ActivityStartDateTime","ActivityEndDateTime"
"11","11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-NETN_ACAD_41_20110418_W_0.5_EF_0","Field Msr/Obs","Water",NA,2011-04-18,"14:03:00","EDT",NA,NA,NA,0.5,"m",NA,NA,NA,NA,NA,"NETN_WQ",NA,"11NPSWRD_WQX-NETN_ACAD_41","General Comments: Sampled from ledges on E. shore. Site Observations: sample taken  at ledges on east shore on 4/18/11",NA,NA,NA,"NETN_DISCRETE_WS_GH","11NPSWRD","Sample (for laboratory analysis) collected directly into sample bottle using gloved hand, 0.2 to 0.5m below water surfac","Water Bottle",NA,"Chloride","Total",337,"ueq/L",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300.0","USEPA","Determination of Inorganic Anions by Ion Chromatography",NA,"Sawyer Environmental Chemistry Research Laboratory",2011-04-18,NA,NA,NA,NA,NA,"STORET",2011-04-18 18:03:00,NA
"12","MEDEP_WQX","Maine Department Of Environmental Protection","MEDEP_WQX-W-138_GS5-7-2011_8118233","Sample-Routine","Water","Surface Water",2011-07-05,"10:45:00","EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61036","BIOMONITORING - WETLAND","MEDEP_WQX-61603",NA,NA,NA,NA,"GS","MEDEP_WQX","GRAB SAMPLE","Miscellaneous (Other)","Not Detected","Chloride","Total",NA,"mg/l",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300","USEPA","Inorganic Anions by Ion Chromatography","https://www.nemi.gov/methods/method_summary/4680/","HEALTH AND ENVIRONMENTAL TESTING LAB-HETL",2011-07-06,NA,"Lower Reporting Limit",1,"mg/l",NA,"STORET",2011-07-05 15:45:00,NA
"13","MEDEP_WQX","Maine Department Of Environmental Protection","MEDEP_WQX-W-237_GS30-6-2011_8125025","Sample-Routine","Water","Surface Water",2011-06-30,"12:15:00","EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94596","BIOMONITORING - WETLAND","MEDEP_WQX-95150",NA,NA,NA,NA,"GS","MEDEP_WQX","GRAB SAMPLE","Miscellaneous (Other)",NA,"Chloride","Total",1,"mg/l",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300","USEPA","Inorganic Anions by Ion Chromatography","https://www.nemi.gov/methods/method_summary/4680/","HEALTH AND ENVIRONMENTAL TESTING LAB-HETL",2011-06-30,NA,NA,NA,NA,NA,"STORET",2011-06-30 17:15:00,NA
"14","11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-NETN_ACAD_14_20111019_W_0.2_EF_0","Field Msr/Obs","Water",NA,2011-10-19,"11:36:00","EDT",NA,NA,NA,0.2,"m",NA,NA,NA,NA,NA,"NETN_WQ",NA,"11NPSWRD_WQX-NETN_ACAD_14","General Comments: Collected phytoplankton sample preserved w/Lugols for Strock. Wind picked up during secchi, tape bowed at times. Site Observations: Lugols for Strock. Wind picked up during secchi, tape bowed at times.",NA,NA,NA,"NETN_DISCRETE_WS_GH","11NPSWRD","Sample (for laboratory analysis) collected directly into sample bottle using gloved hand, 0.2 to 0.5m below water surfac","Water Bottle",NA,"Chloride","Total",126,"ueq/L",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300.0","USEPA","Determination of Inorganic Anions by Ion Chromatography",NA,"Sawyer Environmental Chemistry Research Laboratory",2011-10-19,NA,NA,NA,NA,NA,"STORET",2011-10-19 15:36:00,NA
"15","MEDEP_WQX","Maine Department Of Environmental Protection","MEDEP_WQX-W-136_GS16-6-2011_8118227","Sample-Routine","Water","Surface Water",2011-06-16,"09:30:00","EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61034","BIOMONITORING - WETLAND","MEDEP_WQX-61595",NA,NA,NA,NA,"GS","MEDEP_WQX","GRAB SAMPLE","Miscellaneous (Other)",NA,"Chloride","Total",2,"mg/l",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300","USEPA","Inorganic Anions by Ion Chromatography","https://www.nemi.gov/methods/method_summary/4680/","HEALTH AND ENVIRONMENTAL TESTING LAB-HETL",2011-06-18,NA,NA,NA,NA,NA,"STORET",2011-06-16 14:30:00,NA
"16","MEDEP_WQX","Maine Department Of Environmental Protection","MEDEP_WQX-W-144_GS30-6-2011_8118809","Sample-Routine","Water","Surface Water",2011-06-30,"10:45:00","EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61042","BIOMONITORING - WETLAND","MEDEP_WQX-61612",NA,NA,NA,NA,"GS","MEDEP_WQX","GRAB SAMPLE","Miscellaneous (Other)",NA,"Chloride","Total",1,"mg/l",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300","USEPA","Inorganic Anions by Ion Chromatography","https://www.nemi.gov/methods/method_summary/4680/","HEALTH AND ENVIRONMENTAL TESTING LAB-HETL",2011-06-30,NA,NA,NA,NA,NA,"STORET",2011-06-30 15:45:00,NA
"17","11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-NETN_ACAD_17_20111025_W_0.2_EF_0","Field Msr/Obs","Water",NA,2011-10-25,"10:15:00","EDT",NA,NA,NA,0.2,"m",NA,NA,NA,NA,NA,"NETN_WQ",NA,"11NPSWRD_WQX-NETN_ACAD_17","No Comments",NA,NA,NA,"NETN_DISCRETE_WS_GH","11NPSWRD","Sample (for laboratory analysis) collected directly into sample bottle using gloved hand, 0.2 to 0.5m below water surfac","Water Bottle",NA,"Chloride","Total",124,"ueq/L",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300.0","USEPA","Determination of Inorganic Anions by Ion Chromatography",NA,"Sawyer Environmental Chemistry Research Laboratory",2011-10-25,NA,NA,NA,NA,NA,"STORET",2011-10-25 14:15:00,NA
"18","11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-NETN_ACAD_15_20110425_W_0.5_EF_0","Field Msr/Obs","Water",NA,2011-04-25,"15:20:00","EDT",NA,NA,NA,0.5,"m",NA,NA,NA,NA,NA,"NETN_WQ",NA,"11NPSWRD_WQX-NETN_ACAD_15","General Comments: Sampled from ledges on E. side of lake. Site Observations: Sampled from ledges on E side of pond",NA,NA,NA,"NETN_DISCRETE_WS_GH","11NPSWRD","Sample (for laboratory analysis) collected directly into sample bottle using gloved hand, 0.2 to 0.5m below water surfac","Water Bottle",NA,"Chloride","Total",178,"ueq/L",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300.0","USEPA","Determination of Inorganic Anions by Ion Chromatography",NA,"Sawyer Environmental Chemistry Research Laboratory",2011-04-25,NA,NA,NA,NA,NA,"STORET",2011-04-25 19:20:00,NA
"19","MEDEP_WQX","Maine Department Of Environmental Protection","MEDEP_WQX-W-233_GS21-6-2011_8121743","Sample-Routine","Water","Surface Water",2011-06-21,"12:20:00","EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94578","BIOMONITORING - WETLAND","MEDEP_WQX-95144",NA,NA,NA,NA,"GS","MEDEP_WQX","GRAB SAMPLE","Miscellaneous (Other)",NA,"Chloride","Total",4,"mg/l",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300","USEPA","Inorganic Anions by Ion Chromatography","https://www.nemi.gov/methods/method_summary/4680/","HEALTH AND ENVIRONMENTAL TESTING LAB-HETL",2011-06-24,NA,NA,NA,NA,NA,"STORET",2011-06-21 17:20:00,NA
"20","MEDEP_WQX","Maine Department Of Environmental Protection","MEDEP_WQX-W-232_GS20-6-2011_8124839","Sample-Routine","Water","Surface Water",2011-06-20,"12:30:00","EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94577","BIOMONITORING - WETLAND","MEDEP_WQX-95142",NA,NA,NA,NA,"GS","MEDEP_WQX","GRAB SAMPLE","Miscellaneous (Other)",NA,"Chloride","Total",9,"mg/l",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300","USEPA","Inorganic Anions by Ion Chromatography","https://www.nemi.gov/methods/method_summary/4680/","HEALTH AND ENVIRONMENTAL TESTING LAB-HETL",2011-06-24,NA,NA,NA,NA,NA,"STORET",2011-06-20 17:30:00,NA
"21","11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-NETN_ACAD_50_20111025_W_0.2_EF_0","Field Msr/Obs","Water",NA,2011-10-25,"12:30:00","EDT",NA,NA,NA,0.2,"m",NA,NA,NA,NA,NA,"NETN_WQ",NA,"11NPSWRD_WQX-NETN_ACAD_50","No Comments",NA,NA,NA,"NETN_DISCRETE_WS_GH","11NPSWRD","Sample (for laboratory analysis) collected directly into sample bottle using gloved hand, 0.2 to 0.5m below water surfac","Water Bottle",NA,"Chloride","Total",117,"ueq/L",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300.0","USEPA","Determination of Inorganic Anions by Ion Chromatography",NA,"Sawyer Environmental Chemistry Research Laboratory",2011-10-25,NA,NA,NA,NA,NA,"STORET",2011-10-25 16:30:00,NA
"22","MEDEP_WQX","Maine Department Of Environmental Protection","MEDEP_WQX-W-238_GS5-7-2011_8125299","Sample-Routine","Water","Surface Water",2011-07-05,"13:30:00","EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94597","BIOMONITORING - WETLAND","MEDEP_WQX-95152",NA,NA,NA,NA,"GS","MEDEP_WQX","GRAB SAMPLE","Miscellaneous (Other)",NA,"Chloride","Total",3,"mg/l",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300","USEPA","Inorganic Anions by Ion Chromatography","https://www.nemi.gov/methods/method_summary/4680/","HEALTH AND ENVIRONMENTAL TESTING LAB-HETL",2011-07-06,NA,NA,NA,NA,NA,"STORET",2011-07-05 18:30:00,NA
"23","11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-NETN_ACAD_40_20111018_W_0.5_EF_0","Field Msr/Obs","Water",NA,2011-10-18,"13:21:00","EDT",NA,NA,NA,0.5,"m",NA,NA,NA,NA,NA,"NETN_WQ",NA,"11NPSWRD_WQX-NETN_ACAD_40","General Comments: other = MLK. Melanie Klein, interp intern. MLK did secchi, APR confirmed readings. Site Observations: other = MLK. Melanie Klein, interp intern.",NA,NA,NA,"NETN_DISCRETE_WS_GH","11NPSWRD","Sample (for laboratory analysis) collected directly into sample bottle using gloved hand, 0.2 to 0.5m below water surfac","Water Bottle",NA,"Chloride","Total",212,"ueq/L",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300.0","USEPA","Determination of Inorganic Anions by Ion Chromatography",NA,"Sawyer Environmental Chemistry Research Laboratory",2011-10-18,NA,NA,NA,NA,NA,"STORET",2011-10-18 17:21:00,NA
"24","11113300","New Hampshire Department Of Environmental Services","11113300-2011-1210","Sample-Routine","Water",NA,2011-06-23,"09:30:00","EDT",2011-06-23,NA,NA,0,"m","SURFACE",NA,NA,NA,NA,"ARMP",NA,"11113300-01-AND","ALL FIELD MEASUREMENTS TAKEN BY HANDHELD METERS.    STATE LAB ID = A104968001;",NA,NA,NA,"RIVERTRIP","NEW HAMPSHIRE DEPARTMENT OF ENVIRONMENTAL SERVICES","AMBIENT AND VRAP SAMPLING PROCEDURES","Water Sampler (Other)","Not Detected","Chloride","Total",NA,"mg/l",NA,"Validated",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D512(C)","ASTM","Chloride in Water by ISE-Cl",NA,"LIMNOLOGY LAB - WATERSHED MANAGEMENT BUREAU - NHDES",NA,NA,"Lower Reporting Limit",3,"mg/l",NA,"STORET",2011-06-23 13:30:00,NA
"25","11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-NETN_ACAD_38_20110419_W_0.5_EF_0","Field Msr/Obs","Water",NA,2011-04-19,"11:00:00","EDT",NA,NA,NA,0.5,"m",NA,NA,NA,NA,NA,"NETN_WQ",NA,"11NPSWRD_WQX-NETN_ACAD_38","General Comments: Sampled ~200 yds. E of dam on S side of pond. Site Observations: sample coollected at south shore, 200 yards east of boat launch, on 4/19/11",NA,NA,NA,"NETN_DISCRETE_WS_GH","11NPSWRD","Sample (for laboratory analysis) collected directly into sample bottle using gloved hand, 0.2 to 0.5m below water surfac","Water Bottle",NA,"Chloride","Total",289,"ueq/L",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300.0","USEPA","Determination of Inorganic Anions by Ion Chromatography",NA,"Sawyer Environmental Chemistry Research Laboratory",2011-04-19,NA,NA,NA,NA,NA,"STORET",2011-04-19 15:00:00,NA
"26","11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-NETN_ACAD_36_20111019_W_0.5_EF_0","Field Msr/Obs","Water",NA,2011-10-19,"09:50:00","EDT",NA,NA,NA,0.5,"m",NA,NA,NA,NA,NA,"NETN_WQ",NA,"11NPSWRD_WQX-NETN_ACAD_36","No Comments",NA,NA,NA,"NETN_DISCRETE_WS_GH","11NPSWRD","Sample (for laboratory analysis) collected directly into sample bottle using gloved hand, 0.2 to 0.5m below water surfac","Miscellaneous (Other)",NA,"Chloride","Total",129,"ueq/L",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300.0","USEPA","Determination of Inorganic Anions by Ion Chromatography",NA,"Sawyer Environmental Chemistry Research Laboratory",2011-10-19,NA,NA,NA,NA,NA,"STORET",2011-10-19 13:50:00,NA
"27","11113300","New Hampshire Department Of Environmental Services","11113300-2011-1211","Sample-Routine","Water",NA,2011-06-23,"11:00:00","EDT",2011-06-23,NA,NA,0,"m","SURFACE",NA,NA,NA,NA,"ARMP",NA,"11113300-01-SAC","ALL FIELD MEASUREMENTS TAKEN BY HANDHELD METERS.   STATE LAB ID = A104968002;",NA,NA,NA,"RIVERTRIP","NEW HAMPSHIRE DEPARTMENT OF ENVIRONMENTAL SERVICES","AMBIENT AND VRAP SAMPLING PROCEDURES","Water Sampler (Other)",NA,"Chloride","Total",10,"mg/l",NA,"Validated",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D512(C)","ASTM","Chloride in Water by ISE-Cl",NA,"LIMNOLOGY LAB - WATERSHED MANAGEMENT BUREAU - NHDES",NA,NA,"Lower Reporting Limit",3,"mg/l",NA,"STORET",2011-06-23 15:00:00,NA
